"","Cluster","Variable","Estimate","Std. Error","z value","Pr(>|z|)","Covariate","BH_adjusted_pvalue"
"KRD_nPoultryWghtDist.3000m.sum3","Strep(4)/Prev(12)/Veill(6) clust","KRD_nPoultryWghtDist.3000m.sum",-0.00052965103076297,0.00052354858658322,-1.01165592714054,0.311702595146883,"KRD_nPoultryWghtDist.3000m.sum",0.626391013628938
"KRD_nPigsWghtDist.3000m.sum3","Strep(4)/Prev(12)/Veill(6) clust","KRD_nPigsWghtDist.3000m.sum",0.00472555832393635,0.00713916089510296,0.66192069255335,0.50802204956531,"KRD_nPigsWghtDist.3000m.sum",0.743602011187977
"ecoli_RF_preds3","Strep(4)/Prev(12)/Veill(6) clust","ecoli_RF_preds",-0.473566067380107,0.372279874852624,-1.27207001873948,0.20334824248462,"ecoli_RF_preds",0.55396083424743
"staph_RF_preds3","Strep(4)/Prev(12)/Veill(6) clust","staph_RF_preds",-0.294715361358341,0.21124369515837,-1.39514394092279,0.162972437858868,"staph_RF_preds",0.540611540074295
"tetw_RF_preds3","Strep(4)/Prev(12)/Veill(6) clust","tetw_RF_preds",-0.453238029955147,0.302429354492687,-1.49865753182404,0.133962499298018,"tetw_RF_preds",0.494630766638837
"meca_RF_preds3","Strep(4)/Prev(12)/Veill(6) clust","meca_RF_preds",-0.290390030323666,0.307321984010309,-0.94490484063101,0.344707460021117,"meca_RF_preds",0.636383003115907
"KRD_nGoatsWghtDist.3000m.sum4","Fuso(72)/Por(76)/Prev(128) clust","KRD_nGoatsWghtDist.3000m.sum",-0.0678074671531049,0.167101689733383,-0.405785646221139,0.684900106165096,"KRD_nGoatsWghtDist.3000m.sum",0.83262129239001
"KRD_nCowsWghtDist.3000m.sum4","Fuso(72)/Por(76)/Prev(128) clust","KRD_nCowsWghtDist.3000m.sum",0.0186789299859841,0.123113931777835,0.151720684379499,0.879407242262233,"KRD_nCowsWghtDist.3000m.sum",0.905827202330197
"KRD_nPoultryWghtDist.3000m.sum4","Fuso(72)/Por(76)/Prev(128) clust","KRD_nPoultryWghtDist.3000m.sum",0.00101932074113277,0.000705484491677705,1.44485208839777,0.148499436481008,"KRD_nPoultryWghtDist.3000m.sum",0.539997950840029
"KRD_nPigsWghtDist.3000m.sum4","Fuso(72)/Por(76)/Prev(128) clust","KRD_nPigsWghtDist.3000m.sum",0.00539154364907403,0.0127652361346709,0.422361450441985,0.672761211101178,"KRD_nPigsWghtDist.3000m.sum",0.83262129239001
"ecoli_RF_preds4","Fuso(72)/Por(76)/Prev(128) clust","ecoli_RF_preds",0.735772022031874,0.762471661062197,0.96498277851648,0.334553437620664,"ecoli_RF_preds",0.629460775776714
"staph_RF_preds4","Fuso(72)/Por(76)/Prev(128) clust","staph_RF_preds",0.0788186261607,0.42961017088604,0.183465456597879,0.854432820360008,"staph_RF_preds",0.895475444918786
"tetw_RF_preds4","Fuso(72)/Por(76)/Prev(128) clust","tetw_RF_preds",0.693934716918525,0.717284587442917,0.967446853127525,0.333320697513517,"tetw_RF_preds",0.629460775776714
"meca_RF_preds4","Fuso(72)/Por(76)/Prev(128) clust","meca_RF_preds",0.651704101628808,0.6107491611649,1.06705689187652,0.285946146338228,"meca_RF_preds",0.626391013628938
